broad_sample	broad_id	plate_map_name	solvent
BRD-K99604664-001-01-1	BRD-K99604664	C-7161-01-LM6-027	DMSO
BRD-A97808748-001-03-8	BRD-A97808748	C-7161-01-LM6-027	DMSO
BRD-A97739905-001-26-5	BRD-A97739905	C-7161-01-LM6-027	DMSO
BRD-A38592941-001-02-7	BRD-A38592941	C-7161-01-LM6-027	DMSO
BRD-K98004573-051-02-8	BRD-K98004573	C-7161-01-LM6-027	DMSO
BRD-K97963946-001-01-3	BRD-K97963946	C-7161-01-LM6-027	DMSO
BRD-K97884852-001-05-4	BRD-K97884852	C-7161-01-LM6-027	DMSO
BRD-K07857022-002-01-1	BRD-K07857022	C-7161-01-LM6-027	DMSO
		C-7161-01-LM6-026	DMSO
BRD-K87300616-001-01-9	BRD-K87300616	C-7161-01-LM6-026	DMSO
BRD-A87479750-001-02-7	BRD-A87479750	C-7161-01-LM6-026	DMSO
BRD-K87782578-001-01-4	BRD-K87782578	C-7161-01-LM6-026	DMSO
BRD-A87435144-001-01-6	BRD-A87435144	C-7161-01-LM6-026	DMSO
BRD-K87737963-001-06-0	BRD-K87737963	C-7161-01-LM6-026	DMSO
BRD-K87909389-003-03-4	BRD-K87909389	C-7161-01-LM6-026	DMSO
BRD-A88138582-001-04-8	BRD-A88138582	C-7161-01-LM6-026	DMSO
BRD-K88366685-300-06-0	BRD-K88366685	C-7161-01-LM6-026	DMSO
BRD-K88506063-001-01-8	BRD-K88506063	C-7161-01-LM6-026	DMSO
BRD-K50691590-001-02-2	BRD-K50691590	C-7161-01-LM6-026	DMSO
BRD-K88358234-003-04-8	BRD-K88358234	C-7161-01-LM6-026	DMSO
BRD-K88429204-001-35-1	BRD-K88429204	C-7161-01-LM6-026	DMSO
BRD-K88510285-001-11-1	BRD-K88510285	C-7161-01-LM6-026	DMSO
BRD-K88611939-001-22-4	BRD-K88611939	C-7161-01-LM6-026	DMSO
BRD-K87156652-001-12-7	BRD-K87156652	C-7161-01-LM6-026	DMSO
BRD-A89164055-001-03-3	BRD-A89164055	C-7161-01-LM6-026	DMSO
BRD-K89208535-051-01-5	BRD-K89208535	C-7161-01-LM6-026	DMSO
BRD-K89348303-001-14-7	BRD-K89348303	C-7161-01-LM6-026	DMSO
BRD-K89162000-001-06-4	BRD-K89162000	C-7161-01-LM6-026	DMSO
BRD-K89274813-001-02-3	BRD-K89274813	C-7161-01-LM6-026	DMSO
BRD-K89375097-300-08-8	BRD-K89375097	C-7161-01-LM6-026	DMSO
BRD-M89827113-001-01-5	BRD-M89827113	C-7161-01-LM6-026	DMSO
BRD-K89997465-003-43-0	BRD-K89997465	C-7161-01-LM6-026	DMSO
BRD-A90625545-001-02-0	BRD-A90625545	C-7161-01-LM6-026	DMSO
BRD-K89917372-001-01-2	BRD-K89917372	C-7161-01-LM6-026	DMSO
BRD-K90195324-003-02-5	BRD-K90195324	C-7161-01-LM6-026	DMSO
BRD-A90547603-001-02-5	BRD-A90547603	C-7161-01-LM6-026	DMSO
BRD-K90777969-300-01-2	BRD-K90777969	C-7161-01-LM6-026	DMSO
BRD-K90948141-001-01-4	BRD-K90948141	C-7161-01-LM6-026	DMSO
